T26,T90,T101,T103,CA93,CA94,CA95,T102,T104
NW1: 174E/64S,NW: 103/-38,NW: 169/-41.12,NW: 177/-64,NW: 27/12,NW1: 19/17; NW2:21/16,NW: 44/-16,NW: 190/-53,NW: 191/53
NE1: 177E/64S,NE: 110/-38,NE: 171/-41.90,NE: 182/-64,NE: 30/12,NE1: 21/17; NE2: 23/16,NE: 47/-16,NE: 191/-53,NE: 194/53
NE2: 177E/66S,SE: 110/-48,SE: 171/-44,SE: 182/-67,SE: 30/09,SE1: 21/12; SE2: 23/13,SE: 47/-20,SE: 191/-56,SE: 194/56
NE3: 179E/66S,SW: 103/-38,SW: 169/-44,SW1: 179/-67,SW: 27/09,SW1: 19/12; SW2: 21/13,SW: 44/-20,SW: 190/-56,SW: 191/56
SE1: 179E/68S,,,SW2: 179/-66,,,,,
SE2: 177E/68S,,,SW3: 177/-66,,,,,
SE3: 177E/71S,,,,,,,,
SW1: 174E/73S,,,,,,,,
SW2: 174E/71S,,,,,,,,
SW3:172.5E/71S,,,,,,,,
NW2:172.5E/ 68S,,,,,,,,
NW3: 174E/68S,,,,,,,,
